id_casa|url|precos|enderecos_apartamentos|metragems|quartos|banheiros|garagens|tipo_imovel|bairro|preco_por_metro
2541978621|https://www.vivareal.com.br/imovel/apartamento-3-quartos-parque-industrial-lagoinha-bairros-ribeirao-preto-com-garagem-105m2-venda-RS373000-id-2541978621/|373000.00|Rua Niterói, 135 - Parque Industrial Lagoinha, Ribeirão Preto - SP|105|3|3|2|apartamento|Parque Industrial Lagoinha|3552.38
2542654282|https://www.vivareal.com.br/imovel/apartamento-1-quartos-jardim-botanico-bairros-ribeirao-preto-com-garagem-47m2-venda-RS550000-id-2542654282/|550000.00|Avenida Wladimir Meirelles Ferreira, 702 - Jardim Botânico, Ribeirão Preto - SP|47|1|2|1|apartamento|Jardim Botânico|11702.13
2543237856|https://www.vivareal.com.br/imovel/apartamento-3-quartos-jardim-palma-travassos-bairros-ribeirao-preto-com-garagem-62m2-venda-RS219000-id-2543237856/|219000.00|Avenida Maria de Jesus Condeixa, 655 - Jardim Palma Travassos, Ribeirão Preto - SP|62|3|2|1|apartamento|Jardim Palma Travassos|3532.26
2543448924|https://www.vivareal.com.br/imovel/apartamento-2-quartos-nova-alianca-bairros-ribeirao-preto-com-garagem-62m2-venda-RS440000-id-2543448924/|440000.00|Rua João Perone, 360 - Nova Aliança, Ribeirão Preto - SP|62|2|2|2|apartamento|Nova Aliança|7096.77
2543848326|https://www.vivareal.com.br/imovel/apartamento-4-quartos-jardim-botanico-bairros-ribeirao-preto-com-garagem-320m2-venda-RS2675677-id-2543848326/|2675677.00|Avenida Giuseppe Cilento, 1695 - Jardim Botânico, Ribeirão Preto - SP|320|4|6|4|apartamento|Jardim Botânico|8361.49
2543965752|https://www.vivareal.com.br/imovel/apartamento-2-quartos-residencial-jequitiba-bairros-ribeirao-preto-com-garagem-47m2-venda-RS161000-id-2543965752/|161000.00|Avenida Professora Edul Rangel Rabello, 1300 - Residencial Jequitiba, Ribeirão Preto - SP|47|2|1|1|apartamento|Residencial Jequitiba|3425.53
2544236207|https://www.vivareal.com.br/imovel/apartamento-3-quartos-quinta-da-primavera-bairros-ribeirao-preto-com-garagem-79m2-venda-RS630000-id-2544236207/|630000.00|Rua General Osório, 2 - Quinta da Primavera, Ribeirão Preto - SP|79|3|3|2|apartamento|Quinta Da Primavera|7974.68
2544259244|https://www.vivareal.com.br/imovel/apartamento-2-quartos-residencial-jequitiba-bairros-ribeirao-preto-com-garagem-47m2-venda-RS166000-id-2544259244/|166000.00|Avenida Professora Edul Rangel Rabello, 1300 - Residencial Jequitiba, Ribeirão Preto - SP|47|2|1|1|apartamento|Residencial Jequitiba|3531.91
2544569468|https://www.vivareal.com.br/imovel/apartamento-2-quartos-nova-alianca-bairros-ribeirao-preto-com-garagem-68m2-venda-RS375000-id-2544569468/|375000.00|Rua João Gomes Frossard, 500 - Nova Aliança, Ribeirão Preto - SP|68|2|2|1|apartamento|Nova Aliança|5514.71
2544570003|https://www.vivareal.com.br/imovel/apartamento-1-quartos-jardim-botanico-bairros-ribeirao-preto-com-garagem-66m2-venda-RS262000-id-2544570003/|262000.00|Rua Rubem Ubida, 370 - Jardim Botânico, Ribeirão Preto - SP|66|1|1|1|apartamento|Jardim Botânico|3969.70
2544570011|https://www.vivareal.com.br/imovel/apartamento-2-quartos-parque-sao-sebastiao-bairros-ribeirao-preto-com-garagem-56m2-venda-RS280000-id-2544570011/|280000.00|Via Doutor Paulo de Pinho Monteiro, 270 - Parque São Sebastião, Ribeirão Preto - SP|56|2|1|1|apartamento|Parque São Sebastião|5000.00
2544570016|https://www.vivareal.com.br/imovel/apartamento-1-quartos-jardim-botanico-bairros-ribeirao-preto-com-garagem-48m2-venda-RS245000-id-2544570016/|245000.00|Rua Wanda Bastos Santiago, 120 - Jardim Botânico, Ribeirão Preto - SP|48|1|1|1|apartamento|Jardim Botânico|5104.17
2544570018|https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-botanico-bairros-ribeirao-preto-com-garagem-71m2-venda-RS340000-id-2544570018/|340000.00|Rua Doutor Carlos Chagas Filho, 215 - Jardim Botânico, Ribeirão Preto - SP|71|2|2|2|apartamento|Jardim Botânico|4788.73
2544571186|https://www.vivareal.com.br/imovel/apartamento-3-quartos-jardim-paulista-bairros-ribeirao-preto-com-garagem-123m2-venda-RS850000-id-2544571186/|850000.00|Rua Guarujá, 486 - Jardim Paulista, Ribeirão Preto - SP|123|3|4|2|apartamento|Jardim Paulista|6910.57
2544571275|https://www.vivareal.com.br/imovel/apartamento-3-quartos-nova-alianca-bairros-ribeirao-preto-com-garagem-107m2-venda-RS617900-id-2544571275/|617900.00|Rua João Perone, 155 - Nova Aliança, Ribeirão Preto - SP|107|3|3|2|apartamento|Nova Aliança|5774.77
2544571474|https://www.vivareal.com.br/imovel/apartamento-2-quartos-campos-eliseos-bairros-ribeirao-preto-com-garagem-49m2-venda-RS235000-id-2544571474/|235000.00|Avenida Guido Golfeto, 735 - Campos Eliseos, Ribeirão Preto - SP|49|2|1|1|apartamento|Campos Eliseos|4795.92
2544760525|https://www.vivareal.com.br/imovel/apartamento-3-quartos-residencial-e-comercial-palmares-bairros-ribeirao-preto-com-garagem-89m2-venda-RS266000-id-2544760525/|266000.00|Rua Jaime José do Nascimento Feitosa, 540 - Residencial e Comercial Palmares, Ribeirão Preto - SP|89|3|2|1|apartamento|Residencial E Comercial Palmares|2988.76
2544763593|https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-castelo-branco-bairros-ribeirao-preto-com-garagem-68m2-venda-RS431000-id-2544763593/|431000.00|Rua Arnaldo Victaliano, 980 - Jardim Castelo Branco, Ribeirão Preto - SP|68|2|2|1|apartamento|Jardim Castelo Branco|6338.24
2544763594|https://www.vivareal.com.br/imovel/apartamento-3-quartos-parque-dos-lagos-bairros-ribeirao-preto-com-garagem-90m2-venda-RS293000-id-2544763594/|293000.00|Alameda Janaína Valentim José, 445 - Parque dos Lagos, Ribeirão Preto - SP|90|3|2|1|apartamento|Parque Dos Lagos|3255.56
2544896187|https://www.vivareal.com.br/imovel/apartamento-1-quartos-bosque-das-juritis-bairros-ribeirao-preto-com-garagem-45m2-venda-RS305000-id-2544896187/|305000.00|Rua Udélio Scodro, 44 - Bosque das Juritis, Ribeirão Preto - SP|45|1|1|1|apartamento|Bosque Das Juritis|6777.78
